Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
lihzk.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
uspv.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
fotohokjehuren.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
zgauiesjyzcwrc.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
nvgkdo.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
iconoclast.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
rfogmwfofjgxmo.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
jponit-luckuser-oki-s189s.xzdoofpfagjrt.workers.dev,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1
tepcoblog.com,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
accoun.vaiol.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
estafetawwr.top,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
oneofus.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
pe1o6x.webwave.dev,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
myworjcb.sbs,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1
hrzi.cn,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
agbi.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
137.220.145.45,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
myjcb-jp.co,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
vzfz.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
mtqva.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ekii-linkinc.eshangzhong.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
hngcyj.cn,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
ekii-linkinc.sxzmwl02.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
mysjcbjps1.com,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
brasserie.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
jcbrewards.top,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
lvchajiaoyou.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
wrxldj.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
hanwhausa.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
pejqhy.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
plashjp-ijfnoaral.misecure.com,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
194.126.215.181,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
myjackpot.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
africannah.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
smartoneplushk.vip,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
toughguydigest.com,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1
dogoysim.33137666.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
elcaorsl2.com,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
ekii-goin.3p8wj.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
qtkwiu.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
accoun.quanyuwl.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
h0s2yj.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
fuuwvievddbtv.znxtsc.cn,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
my5353.com,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
npnsbgneoflbwl.top,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
1124.ld1253622.cc,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1
accoun.frhjff.cn,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
smbc.eaido.com,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
idlzrnp.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
deliverance.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
ekii-loonin.gyrzsg.cn,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1
link-ekii.login.eptm9hjwpp.top,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1
acnjzkajwr.com,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
ahhv.cn,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
buteeztpvpdpgptcyhnnhpbu.fielding.cn,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1
mycajcbbs.sbs,0,0,0,2,0,0,0,0,1,0,0,1,1,1,1,1
x0aqhenh.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
smbc.Leahgoddard.com,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
accoun.hhsarie.cn,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
