experiment_id,model,learning_rate,batch_size,epochs,F1_score,precision,recall,roc_auc,accuracy
b6b9276d,xgboost,0.01,64,50,0.9463019250253293,0.8980769230769231,1.0,0.0,0.8980769230769231
ef31af65,lightgbm,0.01,64,50,0.9463019250253293,0.8980769230769231,1.0,0.9702486768211385,0.8980769230769231
40ad31d0,xgboost,0.01,64,50,0.9463019250253293,0.8980769230769231,1.0,0.9706324996969821,0.8980769230769231
00cd9197,xgboost,0.01,64,100,0.9683751363140676,0.940014114326041,0.9985007496251874,0.9798096234901417,0.9395833333333333
